"utterance","keywords","relevances"
"こちらは20.1メガピクセルになっております。","20.1","0.0"
"こちらは20万円となっております。","20万円;20万","0.0;0.0"
"こちらは20万円なったりますはい","20万円;20万","0.0;0.0"
"こちらは20万円なったりますはいプロのカメラマンの形とか肺求めになってます。","はいプロ;肺求め;カメラマン;形;20万円;20万","0.28649333119392395;0.2726283669471741;0.26113539934158325;0.17974288761615753;0.0;0.0"
"こちらは20万円になっております。","20万円;20万","0.0;0.0"
"こちらは20万円になります。","20万円;20万","0.0;0.0"
"こちらは22.3メガピクセルですのでそちらよりは少しと数値的に劣るんですがあのあのご自身で調節していただいてるかしてない綺麗に撮影はしていただけると思います","撮影;22.3","1.0;0.0"
"こちらは22.3メガピクセルで俳句こちらでも十分ではあるんですけれども、大きく違うのは自動機能のあるなしになってきます。","俳句;自動機能;22.3","0.506123423576355;0.49387654662132263;0.0"
"こちらは22.3メガピクセルとなってます。","ピクセル;22.3","1.0;0.0"
"こちらは22.3メガピクセルになっております。","22.3","0.0"
"こちらは22.3メガピクセルになっております失礼しましたこちら24メガピクセルになっております","22.3;24","0.0;0.0"
"こちらは22.3メガピクセルになります改葬届申しますと、先ほどの一眼カメラの方が見られるタイプの方が甘い町上ではあるんですけれども。","方;改葬;町;タイプ;先ほど;一眼カメラ;方;22.3","0.1700320541858673;0.15575282275676727;0.15575282275676727;0.13547174632549286;0.12905403971672058;0.12905403971672058;0.12488245218992233;0.0"
"こちらは24メガピクセルで、当店では一番良い性能になっております。","店;性能;24;一","0.5249717235565186;0.47502827644348145;0.0;0.0"
"こちらは24メガピクセルになります。あちらよりもやはりこちらの方が解像度は高くなりますしの自動機能の方は撮影モードも9種類付いております。後違うってなとピクチャーエフェクトというものがありましてこちらはえっと写真自体ぼやかしたりはいあのポスターのように大きく引き伸ばしたり","方;あちら;方;解像度;撮影モード;自動機能;もの;写真;ピクチャーエフェクト;ポスター;24;9","0.16179825365543365;0.13860543072223663;0.135899156332016;0.12243528664112091;0.08844008296728134;0.08237265795469284;0.07504285126924515;0.0676509290933609;0.06488212943077087;0.0628732219338417;0.0;0.0"
"こちらは3点ございまして、黒の他にシルバーと白がございます一眼レフも一転黒のみになっております。","黒;シルバー;白;他;一眼レフ;3","0.3653290867805481;0.1688457429409027;0.1688457429409027;0.1596302092075348;0.1373492330312729;0.0"
"こちらは3色ございまして、白とシルバーと黒の3色となる。","白;シルバー;黒;3;3","0.36005350947380066;0.35977765917778015;0.2801688313484192;0.0;0.0"
"こちらは3色ございます白とシルバーとブラック。","ブラック;シルバー;白;3","0.34370580315589905;0.3347797095775604;0.3215145170688629;0.0"
"こちらは3色ご用意しておりまして、白とシルバーと黒の3色になります。","黒;白;シルバー;3;3","0.3810559809207916;0.3339630365371704;0.28498098254203796;0.0;0.0"
"こちらは470 G で。","470","0.0"
"こちらは470 G でまあまあそんなに多くはないです。","多く;470","1.0;0.0"
"こちらは470 G となっておりましてはコンパクトデジタルカメラよりはあの重いということになりますコンパクトデジタルカメラは120 G となっております","コンパクトデジタルカメラ;470;120","1.0;0.0;0.0"
"こちらは470グラム、何ではそれほどまぁ重たいとは言わないですけども。","470","0.0"
"こちらは5000円となっております。向こうよりはお買い求めやすいかなとは思いますね。","向こう;5000円;5000","1.0;0.0;0.0"
"こちらは55000円です。当たりやすいでしょ。","55000円;55000","0.0;0.0"
"こちらは55000円ですね。","55000円;55000","0.0;0.0"
"こちらは55000円ですね。デジカメの方ですか、電車でカメラは6800円です。","カメラ;方;デジカメ;電車;55000円;6800円;55000;6800","0.2832781672477722;0.2686154842376709;0.2522057294845581;0.19590061902999878;0.0;0.0;0.0;0.0"
"こちらは55000円ですねはいひたちなか20万で一番向こうのニコンのコンパクトカメラは6800円となりますね。","コンパクトカメラ;向こう;ニコン;55000円;6800円;55000;20万;6800;一","0.3723224401473999;0.33725905418395996;0.2904185354709625;0.0;0.0;0.0;0.0;0.0;0.0"
"こちらは55000円となっておりますので、一眼レフカメラよりは扱いやすいものになりますね。","一眼レフ;もの;カメラ;55000円;55000","0.35875916481018066;0.3417378067970276;0.29950302839279175;0.0;0.0"
"こちらは55000円となってはい。","55000円;55000","0.0;0.0"
"こちらは55000円なっております。","55000円;55000","0.0;0.0"
"こちらは55000円になっております。","55000円;55000","0.0;0.0"
"こちらは55000円になってちょっと高くて重さも470 G で向こうが120 G なので、結構お手軽にはお持ちいただけないかなとは思いますね。","手軽;向こう;重さ;55000円;55000;470;120","0.34780341386795044;0.3340221643447876;0.31817445158958435;0.0;0.0;0.0;0.0"
"こちらは5倍まで可能です。","5","0.0"
"こちらは5倍まで可能になっております。","5","0.0"
"こちらは5分いただきまして問題ございませんでしたら USB のあたりください。","USB;問題;5","0.5152895450592041;0.4847104847431183;0.0"
"こちらは5色ありましてパープルピンクレッドシルバーブラック","パープルピンクレッドシルバーブラック;5","1.0;0.0"
"こちらは6800円でお買い求めやすくはなっております。","6800円;6800","0.0;0.0"
"こちらは6800円です。","6800円;6800","0.0;0.0"
"こちらは6800円で大変お安くなっております。","6800円;6800","0.0;0.0"
"こちらは6800円とお買い求めやすいお値段となっております。","値段;6800円;6800","1.0;0.0;0.0"
"こちらは6800円となっております。","6800円;6800","0.0;0.0"
"こちらは6800円なります。","6800円;6800","0.0;0.0"
"こちらは6800円台。","6800円;6800","0.0;0.0"
"こちらは8にこちらの20.1メガピクセルとなっております。","ピクセル;8;20.1","1.0;0.0;0.0"
"こちらは8写真撮る時に8特殊な効果を与えるといった。モードで例えば背景をぼかしたりと加工写真を撮って後ろの背景がボケたってボケっというそういう格好良い写真が撮れたりとかえまえ絵画調にしたりとかそういったものがありまして全部で13種類覗いた","背景;効果;ボケ;写真;加工写真;モード;もの;絵画調;全部;後ろ;格好;8;8;13","0.16020148992538452;0.1358858346939087;0.1254613697528839;0.1055365726351738;0.09982313960790634;0.07683376967906952;0.06685613095760345;0.06421706825494766;0.06229729205369949;0.06042757257819176;0.04245975986123085;0.0;0.0;0.0"
"こちらは8白シルバーブラックとなっております。","シルバーブラック;8","1.0;0.0"
"こちらは8解像度ははいどんな","8","0.0"
"こちらは950 g。","950","0.0"
"こちらは9種類となって9種類のものなんですけど具体的にはあの海とか山とか雪とかそういったものや人物様ポートレートで自分を磨いたそういったものがございます","もの;もの;もの;人物;ポートレート;海;山;雪;9;9","0.1896117925643921;0.16471554338932037;0.12438461184501648;0.11329269409179688;0.11329269409179688;0.10766289383172989;0.10766289383172989;0.07937687635421753;0.0;0.0"
"こちらは9種類の撮影モードになっておりますのではいビーチや雪や夜景などシーンに合わせたものを選んでいただけます","撮影モード;もの;シーン;ビーチ;雪;夜景;9","0.19059228897094727;0.18914565443992615;0.18199601769447327;0.17499108612537384;0.13163748383522034;0.13163748383522034;0.0"
"こちらは9種類の査定モードがついておりますねですのであちらよりはちょっと半分ぐらいにはなりますよね","査定モード;半分;9","0.5260298252105713;0.4739702045917511;0.0"
"こちらは、この写真にあるその黒以外にはどういった理由があるんですか？","写真;理由;黒","0.35854849219322205;0.34158551692962646;0.2998660206794739"
"こちらはあちらと同じく撮影モードというものがついてるんですがちょっと種類が入りましてちょっと9種類にはなるんですがそれでもあのシーンに合わせて綺麗には撮影自動でしてくれますねちょっともう一種類ピクチャーエフェクトというあの機能がありましてこちらは背景をぼかしたりとか水彩画のようにしたりとかポスターのようなタッチにしたりとか吸いますので特殊な効果で大変あの出来栄えの良いものが反映撮影できるものとなっております","もの;種類;もの;撮影モード;タッチ;もの;効果;ピクチャーエフェクト;出来栄え;ポスター;機能;シーン;背景;水彩画;撮影自動;9;一","0.11725010722875595;0.11069390177726746;0.08558245003223419;0.07850121706724167;0.07850121706724167;0.07670381665229797;0.06588009744882584;0.06014697998762131;0.05796175077557564;0.05583786219358444;0.05276612937450409;0.048880551010370255;0.03783887252211571;0.03783887252211571;0.03561617061495781;0.0;0.0"
"こちらはあちらのミラーレスよりも多くて18種類の撮影モードがついておりますこちらも同じくビーチや雪や夜景などを撮影して頂けるものを設定していただけますとそれに応じた綺麗な撮影ができるものとなっておりますね","撮影;ミラーレス;撮影モード;もの;ビーチ;雪;夜景;もの;18","0.2539199888706207;0.13753582537174225;0.1171700730919838;0.11333107203245163;0.0953456461429596;0.0953456461429596;0.0953456461429596;0.09200609475374222;0.0"
"こちらはあの一眼レフカメラでキャノンの EOS 5 d mark iii という一眼レフカメラでこちらはそうですねあのーもプロの方とかが使うようなカメラとなっております","カメラ;一眼レフ;方;EOS 5 d mark iii;キャノン;プロ;そうですねあのー;5","0.2830429971218109;0.21983805298805237;0.12398450076580048;0.10351182520389557;0.10088983178138733;0.0865531861782074;0.08217959851026535;0.0"
"こちらはあの大変軽くて120 G まではい。","120","0.0"
"こちらはあの自動機能が一切なくて全て手動になります。解像度が22.3メガピクセルこちらございます。はいこれはシャッター音を消すことができるんですけれどもあのそうですねとりを撮影したいときなどにこちらは有効になります","自動機能;手動;解像度;そうですねとり;シャッター音;22.3","0.3726654648780823;0.2921242117881775;0.14427970349788666;0.11486596614122391;0.07606465369462967;0.0"
"こちらはあんの先程よりも重さが半分ぐらいになりますしお値段もぐっと抑えております","先程;しお値段;重さ;半分","0.2846044600009918;0.2518058121204376;0.24470844864845276;0.2188812643289566"
"こちらはおいくらになりますか？","",""
"こちらはお値段は","値段","1.0"
"こちらはお色送って赤とピンクと紫と黒とシルバーの5色ご用意しております。","赤;紫;黒;ピンク;シルバー;5","0.24309706687927246;0.2042037397623062;0.2042037397623062;0.19345171749591827;0.15504375100135803;0.0"
"こちらはこちらの本体のみで20万円となっておりますのでまた別のレンズとお買い求めいただかないといけないカメラにはなってますね","本体;カメラ;別;レンズ;20万円;20万","0.3182221055030823;0.2694537043571472;0.23437361419200897;0.17795054614543915;0.0;0.0"
"こちらはこの写真の黒以外にはどういった色があるんですか？","写真;色;黒","0.35524946451187134;0.3466533422470093;0.2980971932411194"
"こちらはこの本体のみで20万となっておりましてまた望遠レンズと別売りになってますので少しお値段はしますがはいあのカメラを楽しんでいただけるものとなっております","本体;望遠レンズ;カメラ;もの;別売り;値段;20万","0.23838147521018982;0.16730821132659912;0.1660189926624298;0.15465553104877472;0.14256417751312256;0.13107161223888397;0.0"
"こちらはこの色しかないんでしょうか。","色","1.0"
"こちらはそうですねあのメモリーカードを使うので母のパソコンあれば多分問題ないとは思うんですけど","メモリーカード;パソコン;問題;母","0.3146349787712097;0.24032728374004364;0.22731013596057892;0.21772760152816772"
"こちらはそうですね景色も取っていただきますしその撮影モードを開いのいろいろ合わせていただきましたらあのより綺麗な山夜景でしたりあの景色が取れますしあと一を取った場合はあのそのは小顔に見えたりとかはいちょっとそういうあの昨日もありますのでどちらにも適してるかと思うんですが","景色;撮影モード;小顔;山夜景;場合;一","0.371082603931427;0.18961316347122192;0.16492301225662231;0.15711010992527008;0.11727110296487808;0.0"
"こちらはちなみに価格はいくらになるんでしょうか。","価格","1.0"
"こちらはちょっとねでもなんかどうしようかなって迷ってる段階さん術","段階","1.0"
"こちらはついておりませんけれども、他の機能としては補正効果というものがございません。","もの;補正効果;他;機能","0.2607620358467102;0.2535381317138672;0.2428499162197113;0.2428499162197113"
"こちらはどのような撮影モードがありますか。","撮影モード","1.0"
"こちらはどのような自動機能ありますか？","自動機能","1.0"
"こちらはどのような自動機能がありますか。","自動機能","1.0"
"こちらはどのような自動機能が付いたりしますか？","自動機能","1.0"
"こちらはどのような解像度ですか？","解像度","1.0"
"こちらはね900円950 G ですねはいはい","900円;900;950","0.0;0.0;0.0"
"こちらはねあの自動機能というものが一切なくても自分であのピントな色々合わしていただく必要がありますのでカメラの知識が必要だったりするんですね","自動機能;もの;知識;カメラ;必要","0.24571265280246735;0.21543781459331512;0.19502019882202148;0.1893414556980133;0.15448787808418274"
"こちらはのカラーバリエーションはどんな色があるんですか？","カラーバリエーション;色","0.5282411575317383;0.4717588722705841"
"こちらはのニコンのクールピクス S 2800となっておりますあの大変あの軽くて安いリーズナブルでおすすめな米なくなっております。","ニコン;米;クールピクス S 2800;2800","0.3985772132873535;0.3302631676197052;0.2711596190929413;0.0"
"こちらははいこちらキヤノンのデジタル一眼レフになりましてそれはひどい非常にあの技術のいるカメラにはなりますが","キヤノン;カメラ;技術;デジタル一眼レフ","0.29880213737487793;0.2643459439277649;0.24056755006313324;0.19628436863422394"
"こちらはまだ撮影ものなんですけれどもあちら先ほど9種類ってもうしたんですけどこちらは18種類のモードがありますのでお客様が行かれたビーチ行かれたりとかそんないかれた先々のシーンによってより綺麗に写真を撮ることが出来ますまた補正効果というものがあるんですけれどもこれは人肌あのま肌を綺麗に見せたりあと小顔に見せたり目を大きく見せるというような効果がございません","撮影もの;モード;効果;ビーチ行かれたりとかそんないかれた先々;補正効果;目;もの;人肌;ま肌;シーン;客;写真;9;18","0.11048479378223419;0.10514374822378159;0.10082193464040756;0.08478409796953201;0.08245116472244263;0.08244787901639938;0.0795145258307457;0.0795145258307457;0.07807708531618118;0.07184907048940659;0.07051824778318405;0.05439293384552002;0.0;0.0"
"こちらはもう先ほどましたよりもやっぱりピント合わせるのでまだ写真が好きであるとかあのま本格的に取りたい方向けになっております趣味で始められる方もいらっしゃるんですけれどもはい","趣味;方;写真;方向け","0.2836499512195587;0.2836499512195587;0.250871479511261;0.18182863295078278"
"こちらはもう外の夜とかみんなで撮ったりすると、","外","1.0"
"こちらはコンパクトで気軽に持ち歩きができるってのがマウリになってますので、","コンパクト;マウリ","0.5515370965003967;0.44846290349960327"
"こちらはコンパクトデジタルカメラで本当にあのお手軽に持ち歩いていただいて気軽に撮影記念撮影としていただけるものとなっておりますのではい","撮影記念撮影;コンパクトデジタルカメラ;もの","0.3590257465839386;0.3569595217704773;0.2840147316455841"
"こちらはコンパクトデジタルカメラとなっておりまして8ニコンのコンクールピクス S 2800という機種となっておりますそうでしょ、初心者向けというの中ではまず価格がお手頃だということとね、重さが軽くて小さい持ちやすいということがありまして。","こと;コンパクトデジタルカメラ;重さ;初心者;ニコンのコンクールピクス S 2800;機種;価格;8;2800","0.17715348303318024;0.17459888756275177;0.14887458086013794;0.1373826563358307;0.12978297472000122;0.12966139614582062;0.10254602134227753;0.0;0.0"
"こちらはコンパクトデジタルカメラとなっておりまして簡単に簡単初心者の方とか用のカメラなってるんですけどあの簡単に取れる自動機能とかがありましてはそれほど失敗せずに写真が撮れると言っただから風景とかも結構簡単に取れるとか呆れ写真撮れるカメラとなってます","コンパクトデジタルカメラ;カメラ;写真;呆れ写真;初心者;自動機能;風景;方","0.1783788800239563;0.14108780026435852;0.1297486573457718;0.12681081891059875;0.11820193380117416;0.10903419554233551;0.10548959672451019;0.09124811738729477"
"こちらはソニーの8ミラーレス一眼カメラとなっておりますこちらの特徴とやつ腰あのーえーと値段は張るんですけどあの機能的にはすごくいいカメラでそこでもまああの電話機能とこがその相手は知っています歯医者の方でもドアの使いやすいカメラだなんてます","カメラ;レス一眼カメラ;ソニー;電話機能;特徴;歯医者;方;相手;やつ腰あのーえー;値段;8","0.16984368860721588;0.14304673671722412;0.11904538422822952;0.10061255097389221;0.09094556421041489;0.08047522604465485;0.08047522604465485;0.07764629274606705;0.06895466893911362;0.06895466893911362;0.0"
"こちらはソニーのアルファ A 6000となっております。","ソニー;アルファ A 6000;6000","0.5522668361663818;0.44773316383361816;0.0"
"こちらはソニーのアルファ6000というものでミラーレスの一眼となっておりますはいこちらはもう別売りのレンズとかはございませんので一度手に取ってみてください","ソニー;アルファ6000;もの;ミラーレス;一眼;別売り;レンズ;6000","0.19833488762378693;0.1903940588235855;0.15611465275287628;0.15611465275287628;0.10825032740831375;0.09539571404457092;0.09539571404457092;0.0"
"こちらはソニーのミラーレス一眼カメラ Sony Alpha A 6000という機種となっておりますけど先ほどもおっしゃっておられたあの自動機能についてはこちらも撮影モードというものがありましてこちらも同じようにあのシーンに合わせて取ることで綺麗な花の写真が撮れない写真が撮れるということがあってもうその数は9種類って少ないんですけどもう一つ自動機能がありましてピクチャーエフェクトという機能がありますこちらは写真に特殊な効果をつけることができるという機能で例えばあの被写体の背景をぼかしたりとかはプロの岡田とかやってるようなぼかしたりポスターみたいな写真にしたりと少しあの特殊な効果を出すことができる機能となっております","写真;効果;自動機能;機能;機能;自動機能;ソニー;ぼかし;機能;ミラーレス一眼カメラ Sony Alpha A 6000;こと;機種;撮影モード;もの;岡田;こと;背景;プロ;ポスター;被写体;花;シーン;ピクチャーエフェクト;6000;9;一","0.15301507711410522;0.08732358366250992;0.07238756865262985;0.056017857044935226;0.0487847663462162;0.04460960254073143;0.04294195771217346;0.03947332501411438;0.03921503201127052;0.03806064650416374;0.038022056221961975;0.03802047669887543;0.03592011705040932;0.03137983754277229;0.0311085544526577;0.02958538383245468;0.02732459455728531;0.02732459455728531;0.02732459455728531;0.026251012459397316;0.02300938591361046;0.022775182500481606;0.020124780014157295;0.0;0.0;0.0"
"こちらはソニーのミラーレス一眼カメラとなっておりますえーとまあ少し大きくはなってて重さもちょっと重たくはなってるんですよ重さはこちら470 G なので少し重たくなってるんですが、持ち運びの点ではあのどっちかなっていうところではあるんですが。","重さ;ソニー;ところ;ミラーレス一眼カメラ;点;持ち運び;470","0.21239295601844788;0.1887606382369995;0.17608895897865295;0.15672357380390167;0.1373351663351059;0.1286986917257309;0.0"
"こちらはトマト以外でしたらどれぐらい","トマト","1.0"
"こちらはニコンのクールピクスというコンパクトデジタルカメラになっておりますえーとそうですねあのこちらの特徴としましてはもう大変軽くて持ちやすいというところと初心者でも簡単に撮影ができるというところが特徴となってます","特徴;ニコン;ところ;ピクス;コンパクトデジタルカメラ;撮影;初心者;ところ;えー","0.24870070815086365;0.12353010475635529;0.11627453565597534;0.11190192401409149;0.085411436855793;0.08467763662338257;0.08178506791591644;0.07485800981521606;0.07286057621240616"
"こちらはハイシャッター音を消すことができません。","ハイシャッター音","1.0"
"こちらはハイ初心者向けになっておりますので、気軽に通っていただける M サイズでもありますし、詳しい機能についてる尋ねでしたら係4で参りますが、はいかしこまりました少々お待ちくださいませんすいませんこちらのあの機能について詳しくお伺いされたいということなのですが","機能;ハイ初心者;機能;こと;M サイズ;4","0.23027680814266205;0.2164922058582306;0.21498599648475647;0.175863578915596;0.1623813956975937;0.0"
"こちらはミラーレスの白ハイ。","白ハイ;ミラーレス","0.5204541683197021;0.47954586148262024"
"こちらはミラーレス一眼となっておりますえーとそうですねまたあの解像度があのと高いんですよねこちらあのこちらの改造24メガピクセルなっておりますのでええまああの先ほどのに金と比べたらあのかなり違う数値とはなっております","えー;ミラーレス一眼;金;先ほど;改造;解像度;数値;24","0.19720008969306946;0.16635240614414215;0.140537291765213;0.13591156899929047;0.12915778160095215;0.12156424671411514;0.10927660018205643;0.0"
"こちらはミラーレス一眼カメラっていうカメラになったりまして0の自動機能がありますので、何かプロが撮ったような写真が撮れます。かっこいいです。","カメラ;ミラーレス一眼カメラ;自動機能;写真;プロ;何か;0","0.2067844271659851;0.181100994348526;0.1706908792257309;0.16559650003910065;0.16057896614074707;0.11524824798107147;0.0"
"こちらはミラーレス一眼カメラとなってます。なんか結構あの良い画質では取れたりはするのでお勧めだったり。","ミラーレス一眼カメラ;画質","0.6912249326705933;0.30877506732940674"
"こちらはミラーレス一眼カメラになっております先ほどのよりもだいぶ軽くなっております。","ミラーレス一眼カメラ;先ほど","0.5029769539833069;0.4970230758190155"
"こちらはミラーレス一眼カメラソニーのアルファという機種となっておりまして、少し値が張るんですけど、機能的にはすごくいい機能が揃ってるカメラとなっております。","機能;カメラ;ミラーレス一眼カメラソニー;機種;アルファ;値","0.18593096733093262;0.1746084988117218;0.1708885282278061;0.1708885282278061;0.1551935374736786;0.1424899399280548"
"こちらはライト機能はある感じなんですけど、撮影も小田急種類。","ライト機能;小田急;種類;撮影;感じ","0.2350122481584549;0.2127479761838913;0.19377003610134125;0.18812771141529083;0.17034202814102173"
"こちらは一番安いカメラとなっております。","カメラ;一","1.0;0.0"
"こちらは一番軽くて使いやすいと思いますねはい","一","0.0"
"こちらは一眼レフカメラとなっておりましてけどプロ向けのカメラやってみます。","一眼レフ;カメラ;プロ","0.387799471616745;0.3815189003944397;0.2306816428899765"
"こちらは一眼レフカメラとなっておりますもう結構プロの人が使うようなカメラなのではい","人;一眼レフ;カメラ;プロ","0.30270785093307495;0.29241782426834106;0.2367447167634964;0.16812960803508759"
"こちらは一眼レフタイプなんですかね。","一眼レフタイプ","1.0"
"こちらは今一番優れたカメラではあるんですけどもじゃああの先ほどのタイプはの自動機能が付いてるんですがこちらには白昨日はなくても自分でピントを合わせていただくというお客様がまあの地震デコピン等を合わさないと思う僕行ってしまうような写真になってしまいます","カメラ;タイプ;自動機能;客;地震デコピン;白;写真;ピント;一","0.18392930924892426;0.14187739789485931;0.12311293929815292;0.12206172943115234;0.12206172943115234;0.11588072776794434;0.10606563091278076;0.08501053601503372;0.0"
"こちらは他には白とシルバーがございますねはい","他;白;シルバー","0.39624375104904175;0.3394315242767334;0.26432472467422485"
"こちらは価格20万円になっております。","価格;20万円;20万","1.0;0.0;0.0"
"こちらは全てアナログになってますので、手動設定していただかないといけないカメラとなってますね。","アナログ;手動;カメラ","0.3839591443538666;0.3155049979686737;0.30053582787513733"
"こちらは全て手動設定になりますので、電話機能というものは備わっておりません。","手動設定;電話機能;もの","0.40858641266822815;0.2957068085670471;0.2957068085670471"
"こちらは全部で12種類ございます。","全部;12","1.0;0.0"
"こちらは写真でご確認ください問題ありませんでしたらあの USB あたりください","写真;問題;USB","0.38173940777778625;0.3131174147129059;0.30514317750930786"
"こちらは写真になりますご確認ください","写真","1.0"
"こちらは写真現像できますか？","写真","1.0"
"こちらは出来上がっておりますよかったらお取り頂いてお休みを忘れずにお持ち帰りください","",""
"こちらは声ニコンのコンパクトデジタルカメラになっておりますそういう性格とかが凄く安くて解像度がますます多く取ったりはするんですけどまどちらか女子初心者用のカメラといった感じになりますね","ニコン;声;コンパクトデジタルカメラ;カメラ;女子初心者;解像度;性格;感じ","0.16046352684497833;0.14654071629047394;0.14342539012432098;0.14239148795604706;0.10940547287464142;0.10408678650856018;0.09809236228466034;0.09559425711631775"
"こちらは大変お高いもので20万円となっております。","もの;20万円;20万","1.0;0.0;0.0"
"こちらは大変軽くて120 G だって。","120","0.0"
"こちらは実はこちらの方が解像度よくって24メガピクセルございます。","方;24","1.0;0.0"
"こちらは明るいのもありまして、赤紫ピンクは定番の黒とシルバーございます。","黒;赤紫ピンク;定番","0.369242399930954;0.35461166501045227;0.27614593505859375"
"こちらは最大6400なのであちらの一眼レフよりミラーレスよりは倍ほどありますので","倍;一眼レフ;ミラーレス;6400","0.3898305594921112;0.33522653579711914;0.27494290471076965;0.0"
"こちらは最大で3で200までございません。","3;200","0.0;0.0"
"こちらは本体のみで20万円となっております。","本体;20万円;20万","1.0;0.0;0.0"
"こちらは本体のみで大丈夫なので470 G なので千穂も半分。の重さになりますね。","本体;千穂;重さ;470","0.43882182240486145;0.365620881319046;0.19555728137493134;0.0"
"こちらは本格的なカメラなので20万には本体のみなのでまたレンズ別売りとなってますのでもう少し本格的な技術もいるカメラになってますね。","カメラ;技術;レンズ;20万","0.4674971401691437;0.271984338760376;0.26051852107048035;0.0"
"こちらは枝と黒い食となっては、","枝;食","0.5561874508857727;0.4438125491142273"
"こちらは白とシルバーか黒の3色になる。","白;黒;シルバー;3","0.35528284311294556;0.33019158244132996;0.3145256042480469;0.0"
"こちらは線を撮影可能になっておりますので、","線","1.0"
"こちらは自動撮影ございましての撮影モードがコンパクトカメラと同じようについておりませんとはピクチャーエフェクトというものも昨日としてございません","自動撮影;撮影モード;もの;ピクチャーエフェクト;コンパクトカメラ","0.27467674016952515;0.20261132717132568;0.18340930342674255;0.17806866765022278;0.16123397648334503"
"こちらは自動機能というものは付いておりませんあの全て自分の手動で歯の調整していただく必要がありますねただ8 ISO 値が高いので暗い中でも結構あの暗い中でも写真があの綺麗な写真を撮ることができますこちらの数値は6400ありますのでソニーのミラーレスの表示の倍になってますねあ数値的には","写真;自動機能;数値;もの;中;手動;歯;ソニー;ミラーレス;表示;必要;倍;中;8;6400","0.1640576422214508;0.09365838021039963;0.08774781227111816;0.08346245437860489;0.0708131194114685;0.07018358260393143;0.07018358260393143;0.0696304589509964;0.0618254691362381;0.0618254691362381;0.06013549119234085;0.05475747585296631;0.051719050854444504;0.0;0.0"
"こちらは自動機能といったものがございませんので自分で設定する必要がありますはい","必要;もの;自動機能","0.3574562072753906;0.3269997239112854;0.315544068813324"
"こちらは自動機能といったものはございませんもう自分ですべて調整して歯のピントを合わせてとかそういう風なことをする必要がございますのでそうですもただそこまでできるとすごい綺麗な成功した写真も撮ることもできますし今その試行錯誤を楽しむ一眼レフだとは思うので、","もの;こと;歯;自動機能;試行錯誤;写真;一眼レフ;必要;ピント","0.1379542499780655;0.13588277995586395;0.11793331056833267;0.11602720618247986;0.10498673468828201;0.10146185755729675;0.09887035936117172;0.09632398933172226;0.09055950492620468"
"こちらは自動機能とかはついてないって感じですかね。","自動機能;感じ","0.5260298252105713;0.4739702045917511"
"こちらは自動機能ないので、自分自動的に自動的にとか自分で設定しないと駄目なんです。","自動機能","1.0"
"こちらは自動機能はございませんご自身でピントなど合わせていただく必要がございます","自動機能;ピント","0.5998526215553284;0.40014737844467163"
"こちらは自動機能はございません自分であの設定するものになってあの自分でピントを合わせたりとかそういう風にするする必要があるので少しあの玄人向けのカメラなってますね","自動機能;必要;玄人;ピント;もの;風","0.23371338844299316;0.18336442112922668;0.16929861903190613;0.1558876633644104;0.13116639852523804;0.12656950950622559"
"こちらは自動機能はなくて全て指導になっております。","自動機能;指導","0.615734338760376;0.384265661239624"
"こちらは自動機能は付いている。おりませんので全て自分でする必要がありますあんピントを合わせたりとかそういうことは自分でしないと駄目本格的なものになりますね","自動機能;必要;こと;あんピント;もの","0.39215582609176636;0.16885994374752045;0.1566586196422577;0.14797081053256989;0.13435481488704681"
"こちらは自動機能は付いてる感じですね。","自動機能;感じ","0.5015171766281128;0.4984828233718872"
"こちらは自動機能は備わっておりませんはいもう玄人向けのカメラとなってますのでピントやあのつるむとかそういったものはご自身で設定していただく必要がございます","自動機能;もの;玄人;カメラ;ピント","0.27694252133369446;0.21082967519760132;0.1901685744524002;0.1707458198070526;0.1513134092092514"
"こちらは自動機能を備えておりませんので8送信全てご自身でピントなど合わせて光っていただく必要がございますので、少しあのカメラに詳しくないとちょっと難しいかなと思います。","自動機能;カメラ;ピント;必要;8","0.32612672448158264;0.25130701065063477;0.24019543826580048;0.18237082660198212;0.0"
"こちらは自動機能オフについては全くないんですねだから自分で設定しないとだめなの均等の家そうですねあのが地下室と言うかそのなんてそのモードとか全て全て変えないで全てりんとなどそういうの全部変えないとダメなんでレンズレンズを変えたりとか全部ジムでしないと駄目なので結構難しかったりはしますね","自動機能オフ;レンズレンズ;ジム;モード;均等;家;地下室","0.18446555733680725;0.17407673597335815;0.1399969458580017;0.1310245245695114;0.12347874790430069;0.12347874790430069;0.12347874790430069"
"こちらは花は用意しておりませんなかなかこれで赤ってなるとなかなかまだ方もどうでしょうそれはあちらの方が狩場台バリエーションありますが","花;方;狩場台バリエーション;赤;方","0.2581351399421692;0.222489595413208;0.2106281816959381;0.17279216647148132;0.13595491647720337"
"こちらは草自動機能あるって事なんですけど。ピクチャーエフェクトっていうのはどういうものですか？","草自動機能;もの;ピクチャーエフェクト","0.556313693523407;0.2963488698005676;0.1473374366760254"
"こちらは袖燃費、紫色ちょっと。","袖燃費;紫色","0.5466821789741516;0.4533178210258484"
"こちらは解像度24メガピクセルですのであちらのものよりはいいものがハイ解像度としてついておりますね","解像度;ハイ解像度;もの;もの;24","0.29838791489601135;0.28370964527130127;0.23321972787380219;0.184682697057724;0.0"
